Street #,Street,Street Type,Quad,Ward,SSL1,SSL2,SSLFULL,GGStatus
3411,20TH ,ST ,NE ,5,4222,66,4222    0066,5
4212,20TH ,ST ,NE ,5,4190,11,4190    0011,5
2512,22ND ,ST ,NE ,5,4111E ,17,4111E   0017,5
2730,22ND ,ST ,NE ,5,4214,819,4214    0819,5
3404,22ND ,ST ,NE ,5,4222,61,4222    0061,5
4000,22ND ,ST ,NE ,5,4229,1,4229    0001,5
4025,22ND ,ST ,NE ,5,4239,50,4239    0050,5
3107,24TH ,ST ,NE ,5,4289,22,4289    0022,5
2809,26TH ,ST ,NE ,5,4342,36,4342    0036,5
3005,26TH ,ST ,NE ,5,4340,831,4340    0831,5
3725,26TH ,ST ,NE ,5,4305,810,4305    0810,5
2404,2ND ,ST ,NE ,5,3541,9,3541    0009,5
2600,30TH ,ST ,NE ,5,4349,21,4349    0021,5
3700,30TH ,PL ,NE ,5,4304,7,4304    0007,5
1710,3RD ,ST ,NW ,5,519,64,0519    0064,5
1627,4TH ,ST ,NW ,5,520,53,0520    0053,5
2424,4TH ,ST ,NE ,5,3555,103,3555    0103,5
2600,4TH ,ST ,NE ,5,3551,1,3551    0001,5
2829,5TH ,ST ,NE ,5,3640,50,3640    0050,5
2620,6TH ,ST ,NE ,5,3634,41,3634    0041,5
5048,6TH ,PL ,NE ,5,3781,22,3781    0022,5
2907,7TH ,ST ,NE ,5,3643,52,3643    0052,5
4041,7TH ,ST ,NE ,5,3817,21,3817    0021,5
5426,8TH ,ST ,NE ,5,3745,94,3745    0094,5
160,ADAMS ,ST ,NW ,5,3121,57,3121    0057,5
216,ADAMS ,ST ,NE ,5,3557,35,3557    0035,5
307,ADAMS ,ST ,NE ,5,3559,21,3559    0021,5
1508,ADAMS ,ST ,NE ,5,4121,69,4121    0069,5
220,ASCOT ,PL ,NE ,5,3557,69,3557    0069,5
45,BATES ,ST ,NW ,5,615,292,0615    0292,5
108,BATES ,ST ,NW ,5,552,192,0552    0192,5
127,BATES ,ST ,NW ,5,552,821,0552    0821,5
1940,BENNETT ,PL ,NE ,5,4506,114,4506    0114,5
1808,BENNING ,RD ,NE ,5,4507,122,4507    0122,5
1924,BENNING ,RD ,NE ,5,4506,809,4506    0809,5
3136,BERRY ,RD ,NE ,5,4326,2222,4326    2222,5
1249,BLADENSBURG ,RD ,NE ,5,4445,821,4445    0821,5
2704,BRENTWOOD ,RD ,NE ,5,4316,14,4316    0014,5
2837,BRENTWOOD ,RD ,NE ,5,4317,33,4317    0033,5
1352,BRYANT ,ST ,NE ,5,3953,10,3953    0010,5
1866,BRYANT ,ST ,NE ,5,4112,842,4112    0842,5
12,BUCHANAN ,ST ,NE ,5,3685,5,3685    0005,5
1848,CAPITOL ,AVE ,NE ,5,4047,49,4047    0049,5
1903,CAPITOL ,AVE ,NE ,5,4045,20,4045    0020,5
2904,CARLTON ,AVE ,NE ,5,4318,818,4318    0818,5
1850,CENTRAL ,PL ,NE ,5,4047,816,4047    0816,5
58,CHANNING ,ST ,NW ,5,3127,130,3127    0130,5
204,CHANNING ,ST ,NE ,5,3553,41,3553    0041,5
222,CHANNING ,ST ,NE ,5,3553,32,3553    0032,5
222,CHANNING ,ST ,NE ,5,3553,32,3553    0032,5
226,CHANNING ,ST ,NE ,5,3553,30,3553    0030,5
2801,CHANNING ,ST ,NE ,5,4359,10,4359    0010,5
2807,CHANNING ,ST ,NE ,5,4359,43,4359    0043,5
3013,CHANNING ,ST ,NE ,5,4360,40,4360    0040,5
3103,CHANNING ,ST ,NE ,5,4361S ,13,4361S   0013,5
227,DOUGLAS ,ST ,NE ,5,3553,97,3553    0097,5
315,DOUGLAS ,ST ,NE ,5,3554,110,3554    0110,5
1541,DOUGLAS ,ST ,NE ,5,4122,3,4122    0003,5
2241,DOUGLAS ,ST ,NE ,5,4255,829,4255    0829,5
1349,DOWNING ,ST ,NE ,5,4027,10,4027    0010,5
1381,DOWNING ,ST ,NE ,5,4027,26,4027    0026,5
19,EVARTS ,ST ,NE ,5,3502,55,3502    0055,5
1034,EVARTS ,ST ,NE ,5,3873,19,3873    0019,5
2610,EVARTS ,ST ,NE ,5,4347,22,4347    0022,5
2612,EVARTS ,ST ,NE ,5,4347,21,4347    0021,5
2618,EVARTS ,ST ,NE ,5,4347,18,4347    0018,5
638,FARRAGUT ,PL ,NE ,5,3777,10,3777    0010,5
25,FLORIDA ,AVE ,NW ,5,3100,16,3100    0016,5
32,FLORIDA ,AVE ,NE ,5,3516,68,3516    0068,5
33,FLORIDA ,AVE ,NE ,5,668,63,0668    0063,5
54,FLORIDA ,AVE ,NW ,5,614,114,0614    0114,5
300,FLORIDA ,AVE ,NW ,5,519,73,0519    0073,5
1260,FLORIDA ,AVE ,NE ,5,4069,12,4069    0012,5
3291,FORT LINCOLN ,DR ,NE ,5,4325,997,4325    0997,5
24,FRANKLIN ,ST ,NE ,5,3501,49,3501    0049,5
2601,FRANKLIN ,ST ,NE ,5,4347,49,4347    0049,5
1917,GALLAUDET ,ST ,NE ,5,4044,42,4044    0042,5
1114,GALLOWAY ,ST ,NE ,5,3903,90,3903    0090,5
